ID,Title,Artist,Genre,Loudness,Energy,Tempo,Duration,Acousticness,Danceability
R01,Echoes_of_Fire,Ironpulse,Rock,0.68,0.82,0.77,238,0.12,0.55
R02,Midnight_Riot,The_Volt_Axe,Rock,0.63,0.88,0.84,261,0.08,0.62
R03,Broken_Skyline,Red_Highway,Rock,0.72,0.76,0.66,245,0.15,0.5
R04,Zinda_Hoon,KK,Rock,0.7,0.79,0.72,220,0.18,0.58
R05,Thundercry,Steel_Nova,Rock,0.65,0.91,0.92,272,0.05,0.6
R06,Roobaroo,A_R_Rahman,Rock,0.67,0.78,0.75,240,0.2,0.52
R07,Crimson_Night,Volt_Edge,Rock,0.64,0.85,0.8,260,0.09,0.59
R08,Sinbad_the_Sailor,Kailash_Kher,Rock,0.62,0.83,0.74,230,0.14,0.51
E01,Neon_Waves,Electroline,EDM,0.72,0.94,0.88,210,0.04,0.8
E02,Midnight_Drive,Synth_Aura,EDM,0.7,0.9,0.85,205,0.05,0.78
E03,Rafta_Rafta,Atif_Aslam,EDM,0.68,0.85,0.82,198,0.1,0.75
E04,Beatstorm,DJ_Nova,EDM,0.75,0.96,0.92,215,0.03,0.82
E05,Nacho_Nacho,Anirudh,EDM,0.73,0.89,0.87,215,0.07,0.81
E06,Gravity_Grid,Spectral,EDM,0.71,0.93,0.9,220,0.05,0.79
E07,Kamariya,Darshan_Raval,EDM,0.69,0.88,0.84,205,0.09,0.77
E08,Electric_Surge,VoltFlux,EDM,0.76,0.95,0.91,218,0.04,0.83
P01,Shining_Stars,Lumina,Pop,0.7,0.78,0.72,205,0.3,0.7
P02,Dil_Diyan_Gallan,Atif_Aslam,Pop,0.68,0.74,0.68,230,0.34,0.66
P03,Ocean_Eyes,Softline,Pop,0.72,0.8,0.75,215,0.32,0.72
P04,Tum_Hi_Ho,Arijit_Singh,Pop,0.67,0.7,0.65,245,0.45,0.55
P05,Sunrise_Dreams,WaveAura,Pop,0.71,0.82,0.76,210,0.29,0.73
P06,Kesariya,Arijit_Singh,Pop,0.69,0.76,0.7,238,0.33,0.68
P07,Breezy_Night,Cloudline,Pop,0.73,0.81,0.74,225,0.28,0.71
P08,Hawayein,Arijit_Singh,Pop,0.66,0.72,0.67,240,0.4,0.6
H01,Nightflow,Beat_Mania,HipHop,0.75,0.88,0.8,200,0.12,0.78
H02,Mere_Gully_Mein,Divine,HipHop,0.72,0.85,0.78,210,0.1,0.75
H03,No_Fear,Urban_Grip,HipHop,0.74,0.9,0.82,205,0.11,0.79
H04,Aafat,NAEZY,HipHop,0.71,0.83,0.76,195,0.15,0.72
H05,Street_Code,Metro_Bass,HipHop,0.76,0.92,0.84,215,0.09,0.8
H06,Sher_Aaya_Sher,Divine,HipHop,0.73,0.87,0.79,208,0.13,0.76
H07,Rap_Storm,Urban_X,HipHop,0.77,0.91,0.85,202,0.08,0.81
H08,Jungle,Divine,HipHop,0.7,0.82,0.75,198,0.17,0.7
C01,Peaceful_Horizon,Symphora,Classical,0.2,0.3,0.4,260,0.8,0.2
C02,Kun_Faya_Kun,A_R_Rahman,Classical,0.25,0.35,0.45,270,0.78,0.25
C03,Silent_Waves,Aristone,Classical,0.18,0.28,0.38,255,0.85,0.18
C04,Mohe_Rang_Do_Laal,Shreya_Ghoshal,Classical,0.22,0.32,0.42,265,0.82,0.22
C05,Luminous_Sky,Orchestra_One,Classical,0.19,0.31,0.39,250,0.84,0.19
C06,Man_Mast_Magan,Arijit_Singh,Classical,0.24,0.36,0.44,275,0.79,0.24
C07,Echo_of_Time,Symphony_Arc,Classical,0.21,0.34,0.41,268,0.81,0.21
C08,Albela_Sajan,Shankar_Ehsaan_Loy,Classical,0.23,0.33,0.43,272,0.83,0.23
